,ES,NKD,ZN,ZB,BRN,CL,GC,SI,PB,CC,OJ,ZC,ZW,ZS,CT,ZL,KC,sixE,sixJ,sixB
2015-01-02,-0.003054987626394412,0.004013067870826592,0.002824336912830494,0.006475163671175321,-0.016330153842524307,-0.010897884310376494,0.0017635576382748817,0.010824122672689318,0.0064486369538845675,0.0058320037637047736,0.02931769023775458,-0.0031585352444924663,-0.014422807451368225,-0.01564255375656206,-0.011458379648255657,-0.002482811323746803,-0.03332326305261953,-0.007774040309022701,-0.004082300463106614,-0.01568107630168599
2015-01-05,-0.014793060524963287,-0.0177546258438502,0.0047824116334498675,0.010084581083292387,-0.05397429787313509,-0.05030405194831896,0.01499602234496481,0.02821179335666594,-0.01337890459213994,0.005798073898731581,0.017710718697949303,0.025890268878661117,0.013323412698412562,0.03745906199535235,0.018956128631479698,0.023851264646265004,0.043765322559649524,-0.00550398530662507,0.006724944148421208,-0.005229821286757386
2015-01-06,-0.010674603174603082,-0.02157169219669216,0.004637260482848659,0.008070028333822898,-0.03766908934299281,-0.04217619903634003,0.012780797313584535,0.026141871792765982,0.0010740902051878164,-0.0142762249827468,-0.02868865057688038,-0.0024729748221128055,0.0046590097555716855,0.010035523038841842,-0.008410486072715407,0.0002926919474519951,0.04044211715950267,-0.002186157347066031,0.007635509744528901,-0.006044277068719206
2015-01-07,0.012524549157006992,0.01666667257532354,0.0008421791824864466,0.0002010053300656511,0.0007573362071862433,0.015012011669339775,-0.007144636942811167,-0.005599826887824089,0.0016143349146191864,0.003435978744817525,0.00245053630708284,-0.021614858906525557,-0.02071123030961438,0.0004636763340588934,0.003810669848407311,0.008159533410730979,0.0008477646437064279,-0.005378589145588053,-0.0027366899834264324,-0.0026495338512459664
2015-01-08,0.017568687931556227,0.02049388721510862,-0.0028072935368909867,-0.008656061503752166,-0.0026934436349368095,0.0040649966948043455,-0.001827010961779807,-0.009620670257382858,0.0005306199056199001,0.02540216727716719,-0.010178223580222101,-0.005057239246908008,-0.021580239875645356,-0.007583885131962143,0.00214134627444732,0.017697167164875162,0.010558435936153498,-0.00566062457433022,-0.006191518425952525,-0.0025902633976617405
2015-01-09,-0.00962062623102763,-0.025842297213565867,0.00364906216786024,0.004244493319557152,-0.01404027921875769,-0.005894602192942433,0.006278846919899361,0.0020651629232118275,0.01025480113709446,-0.006038051914223986,0.008845906499333622,0.015208849181185957,-0.005741843033509742,0.0038059629806291074,0.003292538834624137,-0.0023690483363026592,0.017796802138516456,0.004909511003426547,0.009439827829801383,0.005429502070239322
2015-01-12,-0.006274507295036058,-0.0023670214009782974,0.0037572442696849674,0.006132845728138025,-0.05069215296471571,-0.04552948143359655,0.013722563186483716,0.008821311342927884,-0.0016141987097869294,0.008750187181791024,0.006310304084180573,0.004362346697996322,-0.014644066976383952,-0.0344599087556143,-0.016961843091787575,-0.031934300521955526,-0.018338179419140697,-9.433994405912975e-05,0.0020045241567739126,0.00097972772543623
2015-01-13,-0.0032237648870838353,0.0026480829090840597,0.0019271253699220446,0.00125323725981622,-0.018079757519251803,-0.005356370784237086,0.0012879180385272691,0.03573020874661962,-0.02009561961724523,-0.0010119246429365015,0.0010368344243954274,-0.04043280620705999,-0.013511270769934159,-0.01182094425696797,0.0070217551265823516,-0.002147315749424472,0.0011216038346693379,-0.006425105859743952,0.005193496995124202,-0.002184947013611793
2015-01-14,-0.004226190476190628,-0.008551894125347815,0.0034941876299417252,0.005246597447501366,0.04265007378633804,0.05266694129793529,7.107060618664059e-05,-0.009802370506122282,-0.03362566264093322,0.00032441570743982904,0.002778507388780971,-0.012323595294674273,-0.018714300196964483,0.005219163030418172,-0.01946132479517578,0.008252026961125957,0.016378941755506284,0.0009246389233783847,0.003872385156083824,0.004944125076049832
2015-01-15,-0.009225362727075049,0.0014755220269926704,0.004445226866584473,0.004591627158428124,-0.031899213265236114,-0.04555729771628477,0.02453446885880143,0.0067006409452084244,0.0056461879623644125,-0.005023289618877958,0.019454799559726767,-0.002634592550931092,-0.009307921564720678,-0.01809265533890888,0.008637114698711678,0.005452911105541946,-0.017802592814318473,-0.013589991814855507,0.006318451715445572,-0.00250756101544477
