,portfolio_equal_weight,portfolio_inverse_vol,portfolio_trend,portfolio_trend_neutral
2015-01-02,-0.002410117580840157,0.0,0.0,0.0
2015-01-05,0.0005741304762553458,0.0,0.0,0.0
2015-01-06,-0.0020006036726696124,0.0,0.0,0.0
2015-01-07,-0.0010563329000258502,0.0,0.0,0.0
2015-01-08,0.001966595772095022,0.0,0.004229210113747065,0.009485350443880047
2015-01-09,0.0009304190284748825,0.0,-0.0014653632616975485,-0.0047198986652509135
2015-01-12,-0.009379045936717852,0.0,-0.0036476957107411975,-0.015240390987565177
2015-01-13,-0.0013606834259001588,0.0,0.0006977709914060409,-0.004114290468379814
2015-01-14,0.0044140285290570815,0.0,0.005632337038690576,-0.012421432868978179
2015-01-15,-0.0024873053170007503,0.0,0.006899679833079927,-0.006707992090702669
2015-01-16,0.0060439828057432055,0.0,-0.004784588973565898,0.009354370287306372
2015-01-20,-0.005050253598709565,0.0,-0.0007078106622044655,-0.004965934956529708
2015-01-21,0.0032404423699143353,0.0,-0.005406521907790054,0.001949421966876537
2015-01-22,-0.004547938134343699,0.0,0.005035583082127418,0.006732107157771622
2015-01-23,-0.005562949008990085,0.0,-0.000536391447807866,-0.014656091767164512
2015-01-26,-0.0019018025416473081,0.0,0.001065441022741469,0.0009614124399648036
2015-01-27,0.002820419385158597,0.0,-0.007581391888136281,-0.0019026754870623455
2015-01-28,-0.005947251475141402,0.0,0.006887780308386436,-0.011388284737303588
2015-01-29,-0.009875661940703972,0.0,0.001539063310162922,0.0015988391174283504
2015-01-30,0.008037866127336086,0.0,-0.0011267965850866668,-0.005379061941626052
2015-02-02,0.001095852105243482,0.0,0.0018978553781753289,0.0027231389266435422
2015-02-03,0.012348578858649728,0.0,-0.013893587834006401,0.010321725072731356
2015-02-04,-0.008578463492148337,0.0,-0.003160858970263885,-0.003555405265169311
2015-02-05,0.004795954337585871,0.0,-0.002437062069953666,0.002946934287983859
2015-02-06,0.00014239530698031462,0.0,-0.003988595936412867,0.010172272779107067
2015-02-09,0.00626851633618567,0.0,-0.008277248597454812,-0.0005558401813699883
2015-02-10,-0.007618839177693746,0.0,0.005131548621479744,0.0037007338629806053
2015-02-11,-0.0030092311217614063,0.0,0.00023417048090149928,-0.0011284289654133505
2015-02-12,0.008959016712254773,0.0,-0.0006137043236295669,0.0020144662749539653
2015-02-13,0.008110526388567652,0.0,-0.0015894022989223476,0.004348329975239955
2015-02-17,-0.004015907182845909,0.0,0.0018917339962110792,0.011399127557158389
2015-02-18,-0.001956054611544319,0.0,0.0046174720166215905,-0.003142903524767025
2015-02-19,-0.001329997859389738,0.0,0.001286658448006118,0.0034864648081411815
2015-02-20,-0.0029530834914672944,0.0,0.0030719776968114692,0.0015647982241908487
2015-02-23,-0.005877519261051938,0.0,0.004807258748129384,-0.004331270127777034
2015-02-24,0.0019177076644658396,0.0,0.0034455966917928843,-0.004488543014338088
2015-02-25,-0.00014884581942025814,0.0,0.0004902120942559314,-0.0022471490818738804
2015-02-26,-0.003881726332750998,0.0,-0.0016896369029867535,0.002206753788010249
2015-02-27,0.006085721051339181,0.0,0.0020072127305360353,0.0020431660962052954
2015-03-02,-0.004449741347736245,0.0,-0.001205152121112133,0.008509795030290961
2015-03-03,-0.006791251353734482,0.0,-2.1454440742942002e-05,0.0038584506652289408
2015-03-04,0.0018960967877162647,0.0,-0.0008645146580743807,-0.0006032401032572422
2015-03-05,-0.0019531864067572195,0.0,0.0011320469644647455,-0.000983726996760521
2015-03-06,-0.007880195488175689,0.0,4.231787844184391e-05,0.012943926438658989
2015-03-09,-0.0009732218325399389,0.0,-0.0015747712194533648,-0.004268581695096627
2015-03-10,-0.008069850907905348,0.0,-0.0015371967956386396,-0.007524168418653952
2015-03-11,-0.0010493205217462854,0.0,0.0018508708975037314,-0.003067391607932441
2015-03-12,-0.0001459882608815575,0.0,0.000556329016352741,-0.0011471413435642224
2015-03-13,-0.009376743121279426,0.0,0.006073687349487509,0.00021606701505074246
2015-03-16,0.002812397482269971,0.0,-0.0028572334090358116,-0.0022549857464211954
2015-03-17,-0.003993155807028974,0.0,0.0043125758762096065,-0.005177130012666941
2015-03-18,0.008280763445360604,0.0,-0.0031062577690355456,-0.006397308708100251
2015-03-19,-0.004196723341468793,0.0,0.0011818530069301197,-0.0011421786701262824
2015-03-20,0.013767606793457558,0.0,-0.013534360829890905,-0.00503943235541862
2015-03-23,0.00695066243087627,0.0,-0.005050731982774804,0.0005315250710357275
2015-03-24,-0.0005102631310736514,0.0,0.001950873531004251,-0.003762557477222996
2015-03-25,0.000153039168587081,0.0,-0.0065800179884018895,0.0017659870256973393
2015-03-26,-0.00044186704654964123,0.0,0.0008553807321919814,0.008847065297007671
2015-03-27,-0.004650950887708213,0.0,0.0028838660351136066,-0.00788651465779164
2015-03-30,-0.002336297956487265,0.0,0.004674344432435093,0.0026129048280330207
2015-03-31,-0.006793665704208929,0.0,0.0018080926492206931,-0.0021066123171970086
2015-04-01,0.008610395461191845,0.0,-0.005146030914672502,-0.008346169736828186
2015-04-02,0.004074479633041057,0.0,-0.0044314938097827035,0.0035789785167942892
2015-04-03,0.00453693805533687,0.0,0.000685663392751308,-0.006651654267057852
2015-04-06,0.005203994372975922,0.0,0.0017918957488305004,0.008788269793412688
2015-04-07,-0.0007005680169292116,0.0,0.003761195723211126,-0.0018871642529712297
2015-04-08,-0.005448309447875674,0.0,0.00020050044856014294,-0.0015041548198219165
2015-04-09,-0.0036257835307302914,0.0,0.004935884305000879,0.008079117191691717
2015-04-10,0.0005914235695026515,0.0,0.0014676495253527157,-0.0005422157788393165
2015-04-13,-0.0036867959749437252,0.0,0.002868531807240041,-0.00017351955593869017
2015-04-14,0.004874765749005579,0.0,-0.003930463862035429,-0.004324416619573076
2015-04-15,0.006599147832425275,0.0,-0.001919216766659308,0.0009815800790828038
2015-04-16,0.0074896291151846815,0.0,-0.0036791992783377424,-0.0006936054426306209
2015-04-17,-0.00432105746618375,0.0,-0.004354008714101106,-0.006601096860535302
